a ?あ
a- あゝ
a- あー
a-a あーあ
a- あ?
a- あぁ
a- ああ
a-nau ああなる
ai あい
ai あい
aiai あいあい
aiionau あいいとなむ
aiienai あいいれない
aiieu あいいれる
aiaaau あいかわらず
aiaau あいかわる
aiuuii あいくるしい
aio あいこ
aiau あいさつ
aiauaai あいさつ回り
aiiau あいしあう
aiiaeu あいしあえる
aiu あいす
aiuu あいする
aieu あいせる
aioe あいぞめ
aia あいた
aia あいだ
aia あいだ
aiiu-o-no-o- あいち中央農業
aiu あいつ
aiuu あいつぐ
aiuuu あいつづく
aieou あいてどる
aioonau あいともなう
ainai あいない
ainau あいなる
ainiu あいにく
aino あいの
ainoo あいの子
ainoe あいの手
ainoao あいの里
ainoaonio- あいの里二条
aiaa あいはら
aia あいま
aiai あいまい
aiaio あいまい度
aiau あいまつ
aiaii あいらしい
aio あい子
aiaau あい変わる
aiai あい昧
aio あい路
au あう
aeu あえぐ
aee あえて
aenai あえない
aei あえみ
aeu あえる
aeono あえ物
aoi あおい
aoi あおい
aoi あおい
aoio-i あおい商事
aouai あおくさい
aou あおぐ
aouoi あおぐろい
aoeu あおげる
aoaeu あおざめる
aoioi あおじろい
aooi あおっぽい
aonoeu あおのける
aoa あおば
aoau あおばむ
aoaeiei あおば生命
aoiaau あおみがかる
aou あおむ
aouu あおむく
aoueu あおむける
aooiin'o-ino あおもり信用金庫
aoi あおり
aou あおる
aoue あお向け
aaaao あかあかと
aai あかい
aauoi あかぐろい
aai あかし
aaiaai あかしあ台
aau あかす
aaaeu あかちゃける
aaui あかつき
aauiai あかつき台
aanueu あかぬける
aane あかね
aaneai あかね町
aanoen あかのれん
aaana あかまんま
aaiaau あかみがかる
aaeu あかめる
aaaaa あからさま
aaaeu あからめる
aai あかり
aaui あかるい
aauu あかるむ
aan あかん
aane あかんべ
aaeo あかゲット
aain あかチン
aanueu あか抜ける
aai あがき
aau あがく
aaaaoa あがたが丘
aauano-o- あがつま農業
aanau あがなう
aaeu あがめる
aaiou あがりこむ
aaie あがり目
aau あがる
aaeu あがれる
ai あき
aiaiuu あきあきする
aii あきい
aio あきこ
aiaoai あきたこまち
aio あきと
ainau あきなう
aino あきの
aio あきほ
aiaen あきまへん
aieu あきめく
aioo あきもと
aio あきよ
aiae あきらめ
aiao-o- あきら工業
aiu あきる
aiuno あきる野
aieaeu あきれかえる
aieaeu あきれ返る
aie あきゑ
aie あき江
aio あき子
aiaeo- あき竹城
aio あぎと
au あく
auaeu あくたれる
auoi あくどい
aui あくび
aua あくま
auaeo あくまでも
auu あくる
auui あくる日
auneu あぐねる
auu あぐむ
aua あぐら
aui あぐり
aeueu あけくれる
aeue あけすけ
aeioe あけっぴろげ
aenoou あけのこる
aenoaia あけの平
aeanau あけはなす
aeaau あけはらう
aei あけび
aeono あけぼの
aeonoon あけぼの本
aei あけみ
aeu あける
aeaau あけわたす
aeaau あけわたる
aei あけ美
aeu あげく
aeuau あげつらう
aeuau あげつらる
aeu あげる
ao-ai あこう鯛
aoae あこがれ
aoaeu あこがれる
aoa あこや
ao あご
aoie あごひげ
aai あさい
aai あさい
aae あさえ
aauoi あさぐろい
aaeaoa あさけが丘
aao あさこ
aae あさって
aanaaana あさなあさな
aano あさの
aai あさひ
aaio-o-o-in あさひ総合病院
aaai あさまい
aaaii あさましい
aai あさみ
aaaoeu あさやホテル
aao あさよ
aai あさり
aau あさる
aae あさ江
aao あさ子
aaeu あざける
aaoi あざとい
aanau あざなう
aai あざみ
aainoinai あざみ野南
aauu あざむく
aaueu あざむける
aaaa あざやか
aaai あざらし
aaaau あざわらう
aaaau あざ笑う
ai あし
aii あしい
aia あしか
aiaau あしからず
aia あした
ainaa あしなが
ainaaiueiai あしなが育英会
aiino あしび野
aieai あしべ橋
aua あしゅら
aiai あしらい
aiau あしらう
aiaa あし原
ai あじ
aian あじかん
aiinai あじきない
aie あじけ
aiai あじさい
aiaii あじましい
aiu あじる
aiau あじわう
aiaeu あじわえる
au あす
aua あすか
auanoia あすか野北
auo あすこ
aunao- あすなろう
auiaoa あすみが丘
auau あずかる
auaeu あずかれる
aui あずき
aueieu あずけいれる
aueu あずける
aua あずさ
aua あずさ
aua あずま
auaa あずま屋
aua あずら
aeuu あせする
aeau あせばむ
aeu あせる
aeu あせる
ae あぜ
aen あぜん
aeii あぜ道
aoo あそこ
aoau あそばす
aoaeooa あそばせ言葉
aoiaiu あそびあきる
aoiaaeu あそびまわれる
aou あそぶ
aoeu あそべる
aai あたい
aaiuu あたいする
aau あたう
aaeu あたえる
aaao あたかも
aaeu あたける
aao あたご
aai あたし
aaa あたしゃ
aaienai あたじけない
aaaai あたたかい
aaaeu あたためる
aaua あたふた
aaa あたら
aaaii あたらしい
aai あたり
aaiae あたり前
aau あたる
aaeu あたれる
aauu あだする
aaoi あだっぽい
aaeu あだめく
aaana あだ花
aaui あだ討ち
aana あだ名
aioi あちこち
aaaa あちゃらか
aia あちら
aiaaei あちら帰り
aiinai あぢきない
a' あっ
aane- あっかんべー
ae あっけ
aenai あっけない
aeaan あっけらかん
aeaano あっけらかんと
aai あっさり
auu あっする
aen あっせん
aaai あったかい
aaau あったまる
aaa あったら
aaiae あったりまえ
ai あっち
ao あっと
aoaiu あっと５
aouua あっという間
aouuani あっと言う間に
aaa あっぱっぱ
aae あっぱれ
auau あっぷあっぷ
ae あっ気
aen あっ旋
auau あつあつ
aui あつい
auau あつかう
auaaii あつかましい
auuuii あつくるしい
auoai あつぼったい
auau あつまる
aui あつみ
auionen あつみ温泉
aueu あつめる
auo あつよ
auaeu あつらえる
auo あつ子
auau あづかる
aua あづさ
aua あづま
ae あて
aeaiui あてがいぶち
aeau あてがう
aeouu あてこする
aeoeu あてこめる
aeueu あてつける
aeaau あてはまる
aeaeu あてはめる
aeu あてる
aeeo あてレコ
aeaue あて外れ
aei あて字
aeai あて先
aeua あて馬
aenai あて無し
aena あて名
aeaa あでやか
aeuaa あで姿
ao あと
ao あと
aoao あとあと
aoai あとがき
aouau あとずさる
aoueu あとづける
aoenai あどけない
ana あな
anaai あながち
anaai あながち
anao あなご
anaa あなた
anaaaae あなた任せ
anaou あなどる
anaoeu あなどれる
ani あに
ani- あにい
aneanaui あねさん被り
ano あの
anoaa あのまま
anoo-ni あのように
anoeonoe あの手この手
anoo あの世
aaon あはごん
aae あはれ
aaiau あばきだす
aau あばく
aaeu あばける
aaaa あばら屋
aaaone あばら骨
aaeau あばれだす
aaeu あばれる
aiu あひる
aieaeu あびせかける
aieu あびせる
aiu あびる
aui あふひ
auu あふる
aue あふれ
aueu あふれる
auua あぶくま
auuaai あぶくま台
aunai あぶない
aunaaii あぶなっかしい
auaiu あぶらぎる
auaui あぶら虫
auiau あぶりだす
auiono あぶり物
auu あぶる
aueu あぶれる
aueono あぶれ者
aeoe あべこべ
aeno あべの
aenoai あべの橋
aoaii あほらしい
aai あまい
aaeu あまえる
aaeno- あまえん坊
aaaai あまからい
aaaeu あまがける
aau あます
aauai あまずっぱい
aaa あまた
aaooi あまちょろい
aaae あまっさえ
aaaui あまったるい
aaaeu あまったれる
aaooi あまっちょろい
aanau あまなつ
aanei あまねい
aaneu あまねく
aaaau あまやかす
aai あまり
aaino あまりの
aau あまる
aaniu あまんじる
aanuu あまんずる
aai あま味
aiaeu あみあげる
aiou あみこむ
aiau あみだす
aiau あみ出す
au あむ
ae あめ
aeu あめる
aeno あめんぼ
aeio あめ色
aa あや
aai あやい
aaui あやうい
aaai あやかし
aaau あやかる
aao あやこ
aaii あやしい
aaiu あやしむ
aau あやす
aauu あやつる
aaueu あやつれる
aaoi あやとり
aaou あやどる
aanau あやなす
aano あやの
aaua あやふや
aauu あやぶむ
aaau あやまつ
aaaeu あやまれる
aae あやめ
aaeieia あやめ池北
aao あやを
aao あや子
aaoi あや織り
aui あゆみ
auino あゆみ野
auu あゆむ
aa あら
aa あら
aa- あらー
aaaa あらあら
aaaaii あらあらしい
aai あらい
aaiaeu あらいあげる
aaioou あらいおとす
aaiooeu あらいおとせる
aaiua あらいぐま
aaiaeu あらいたてる
aaiau あらいだす
aainaau あらいながす
aainaaeu あらいながせる
aau あらう
aaeu あらえる
aaaa あらかた
aaau あらがう
aai あらき
aai あらし
aaieu あらしめる
aau あらす
aaeu あらせる
aaou あらそう
aaoeu あらそえる
aaa あらた
aaaeu あらためる
aaau あらだつ
aaaeu あらだてる
aaoi あらっぽい
aaai あらまし
aauu あらゆる
aaaeu あららげる
aaa あらわ
aaaeu あらわれる
aa' あらッ
aaio あら塩
aaaai あら捜し
ai あり
aiaau ありあまる
aiai ありあり
aiaaeu ありあわせる
aiui ありうち
aieu ありえる
aiaai ありがたい
aiao- ありがとう
aiii ありっきり
aiae ありったけ
