a ま
a- まぁ
a- まあー
aaaaii まあたらしい
a-a まあだ
a-a- まあまあ
aiaau まいあがる
aioiu まいおりる
aiuuu まいくるう
aio まいこ
aiou まいこむ
aioou まいもどる
aiooeu まいもどれる
aiau まいらす
aiaeu まいらせる
aiu まいる
aieu まいれる
aio まい子
aiin まい進
au まう
aeai まえがき
aeoe まえもって
aeu まえる
aau まかす
aaeu まかせる
aanau まかなう
aanaeu まかなえる
aaiou まかりこす
aaeu まかれる
aai まがい
aaiono まがい物
aau まがう
aaeu まがえる
aaaaii まがまがしい
aaiuneu まがりくねる
aaeu まがれる
ai まき
ai まき
aiaeu まきあげる
aioou まきおこす
aiooeu まきおこせる
aiaeu まきかえす
aioeu まきこめる
aiiau まきちらす
aiueu まきつける
ainaou まきなおす
ainaoeu まきなおせる
aie まき絵
aiiau まき散らす
aio まき子
aiai まき網
aiaau まぎらかす
aieou まぎれ込む
au まく
auiaeu まくしあげる
auiaeu まくし立てる
aua まくら
aueu まくれる
aue まぐれ
auoon まぐろ本
aeou まけこす
aeu まける
aee まげて
aeu まげる
aoo まこと
aooni まことに
aouu まごつく
aonoe まごの手
aa まさ
aai まさい
aae まさえ
aao まさお
aaani まさかに
aai まさき
aauu まさぐる
aao まさこ
aai まさし
aaiu まさしく
aani まさに
aano まさの
aai まさみ
aauau-i まさむら遊機
aaui まさゆき
aao まさよ
aau まさる
aau まさる
aae まさゑ
aao まさを
aae まさ江
aao まさ子
aao まさ代
aai まさ美
aaaa まざまざ
aaaao まざまざと
aau まざる
ai まし
aie まして
aiea ましてや
aia ましま
aii ましみ
aie ましゑ
aieu まじえる
ainau まじなう
aiai まじまじ
aiea まじめさ
aiie まじり気
aiou まじろぐ
aiau まじわる
aiaeu まじわれる
au ます
au ます
aui ますい
aue ますえ
auoi ますこみ
auuien ますぶち園
aui ますみ
auo ますよ
auu まする
aue ますゑ
aue ます江
auo ます子
auei ます席
aui ます美
aue ます目
au まず
aui まずい
auii まずしい
auau まずまず
aeu ませる
aeaau まぜあわす
aeaaeu まぜあわせる
aeaeu まぜかえす
aeaeu まぜっ返す
aeu まぜる
aeaeu まぜ返す
aa また
aaau またがる
aaeu またげる
aau またす
aaeu またせる
aaoo またぞろ
aaau またたく
aaonai またとない
aanoi またの日
aanona またの名
aaaa またまた
aaoa またもや
aaia また下
aaue また上
aa まだ
aai まだき
aaio まだしも
aauoi まだるっこい
ai まち
aiauu まちあぐむ
aiaaeu まちあわせる
aiueu まちうける
aianeu まちかねる
aiaaeu まちかまえる
aiai まちがい
aiau まちがふ
aiuaieu まちくたびれる
aioaeu まちこがれる
aiueu まちつける
aio-ii まちどおしい
ainaa まちなか
ainoou まちのぞむ
aiueu まちぶせる
aiai まちまち
aio-eu まちもうける
aiaiu まちわびる
aio まち子
aiai まち針
aia まぢか
aiai まぢかい
auoi まっくろい
ao-uai まっこうくさい
aaini まっさきに
aioi まっしろい
auu まっすぐ
aau まったく
aai まったり
ao-uu まっとうする
aia まっぴら
auau まっぷたつ
aua まっ暗
auo まっ黒
aaiu- まっ最中
aaini まっ先に
aio まっ白
aio まっ白
au まつ
aui まつい
auua まつうら
aue まつえ
auaeai まつかげ台
aue まつげ
auo まつこ
auno まつの
aui まつみ
auaenen まつや千千
auo まつよ
aui まつり
aueu まつれる
auaiuu まつわりつく
auau まつわる
aue まつゑ
aue まつ江
auo まつ子
aue まつ毛
aeu まてる
aou まとう
aoeu まとえる
aoai まとまり
aoo まとも
aoaiuu まとわりつく
aou まどう
ao-i まどおい
aoa まどか
aoou まどろむ
aoau まどわす
anaia まないた
anaai まなかひ
anao まなこ
anaai まなざし
anaiou まなびとる
anaeu まなべる
anai まなみ
anaei まな弟子
anaia まな板
aniau まにあう
anuaeu まぬかれる
anuaeu まぬがれる
ane まね
aneiieu まねきいれる
aneu まねく
aneoo まねごと
aneu まねぶ
aneu まねる
aaau まばたく
aaui まばゆい
aiu まびく
aieu まびける
auii まぶしい
auu まぶす
aua まぶた
aa まま
aa まま
aa まま
aaoo ままごと
aaii まましい
aanaau ままならず
aanoue ままの上
ai まみ
aieu まみえる
aie まみれ
aieu まみれる
aio まみ子
aui まむし
ae まめ
aeaeii まめまめしい
aonau まもなく
aoi まもり
aoeu まもれる
aaai まやかし
au まゆ
au まゆ
auo まゆこ
aui まゆみ
auo まゆ子
aue まゆ毛
aoiou まよいこむ
aou まよう
aou まよう
aoau まよわす
ai まり
ai まり
aia まりあ
aie まりえ
aio まりこ
ain まりン
aie まり絵
aio まり子
aui まるい
auii まるきり
auo- まるこう
auoo まるごと
auii まるっきり
auoi まるっこい
aue まるで
aueni まるべに
auoa まるぽちゃ
auau まるまる
aueou まるめ込む
aua まるや
auoi まるよし
ae まれ
ao-o まろうど
aoine まろび寝
aoaa まろやか
aon まろん
aaiono まわし者
aaeu まわせる
aai まわり
aaeu まわれる
ana まんが
anaa まんざら
anu- まんじゅう
aniio まんじりと
aniooe まんじ巴
anuu まんずる
annaa まんなか
anennau まんべんなく
ano- まんぼう
ana まんま
anao まんまと
an'en まん延
an'enuu まん延する
anau まん丸
aneu まん月
anen まん然
annaa まん中
a- まァ
a- まア
i み
iau みあう
iaiu みあきる
iaeu みあげる
iaau みあたる
iaaau みあらわす
iaau みあわす
iaaeu みあわせる
ii みい
iio みいこ
iio みいこ
iiau みいだす
iiaeu みいだせる
iiu みいる
iio みい子
iueu みうける
iuinau みうしなう
iua みうら
ie みえ
ieuu みえすく
ieie みえみえ
ieu みえる
ieo みえ子
iouu みおくる
ioueu みおくれる
ioou みおとす
ioou みおろす
