a-i わーい
a- わぁー
aa わあ
ai わい
aieu わいせつ
aio わいろ
aiai わいわい
aiou わい曲
aiau わい雑
aiau わい雑
aian わい談
aa わか
aai わかい
aaiiaeu わかいしあえる
aaaeu わかがえる
aae わかげ
aaoa わかこま
aau わかす
aaeu わかせる
aaiai わかち書き
aau わかつ
aano わかの
aaa わかば
aae わかめ
aaooeiau わかもと製薬
aaau わかやぐ
aaaua わからず屋
aaee わかれ目
aaaaii わかわかしい
aanui わかんむり
aao わか子
aa わが
aaneu わがねる
aaai わがはい
aaaa わがまま
aaa わが家
aao- わが校
aao わが子
aai わが身
aaai わが輩
aaonoao わが物顔
ai わき
ai わき
aiaau わきあがる
aioou わきおこす
aiooeu わきおこれる
aiaeu わきかえる
aiau わきたつ
aieu わきでる
ainoia わきの下
aiaau わきばさむ
aiaeu わきまえる
aioou わき起こす
aiooeu わき起これる
aii わき見
aieu わき出る
aiiu わき水
aiii わき道
aiaa わき腹
aiaeu わき返る
aie わき毛
aie わき目
aiau わき役
au わく
aui わくり
auau わくわく
ae わけ
ae わけ
aeaaeu わけあたえる
aeu わける
aee わけ目
aai わさび
aaiue わさび漬け
aan わさん
aa わざ
aaue わざくれ
aaoaaii わざとがましい
aaoaii わざとらしい
aai わざ師
ai わし
ai わし
ai わし
auu わする
aueua わすれ草
aua わずか
auaiuu わずらいつく
auaaeu わずらわせる
aaui わたくし
aauiuu わたくしする
aai わたし
aaeu わたせる
aanoaa わたの原
aaoui わたぼうし
aaaeeiouen わたらせ渓谷線
aaeu わたれる
aae わた毛
aaaau わだかまる
aaui わだつみ
a' わっ
aa わっぱ
ananau わななく
anaana わなわな
ani わに
ai わび
aiiu わびいる
aiii わびしい
aiu わびる
aio- わび状
aeiaeu わめきたてる
aeu わめく
aa わや
aau わやく
aa わら
aaioeu わらいこける
aaianai わらい話
aau わらう
aaeu わらえる
aaie わらしべ
aai わらじ
aaiui わらじ虫
aai わらび
aaeaniio- わらべや日洋
aaau わらわす
aaaeu わらわれる
aaani わら半紙
aauon わら布団
aiai わりあい
aiaeu わりあてる
aiaa わりかた
aioeu わりこめる
aiau わりだす
aiaeu わりだせる
aiueu わりつける
ainai わりない
aini わりに
aiiu わりびく
aiieu わりびける
aiuu わりふる
aiueu わりふれる
aioou わりもどす
aiooeu わりもどせる
aian わり算
aiai わり箸
au わる
aui わるい
auaioi わるがしこい
auieu わるびれる
ae われ
aeo われと
aeu われる
aeae われわれ
aenae われ鍋
aee われ目
aoi わろい
an わん
anooa わんこそば
anao わんさと
anaa-u わんさガール
anan わんわん
anan わんわん
iu ゐる
ei ゑい
eio ゑい子
eu ゑつ
enao ゑなよ
enao ゑな子
eio ゑみ子
eu ゑむ
en ゑん
oai をか志
ono をの
ooau をろがむ
onnaaunin'iu をんな百人一首
a-inu ワーキング
a- ワァー
ai ワイ
aii-e-a ワイ・イー・データ
aieui- ワイ・エフ・シー
aie-e- ワイ・デー・ケー
aioo ワイ・ヨット
aia ワイア
aieiii ワイエイシイ
aieuii ワイエムシイ
