a や
a- やぁ
a- やあ
aio やいこ
ainoaino やいのやいの
aio やい子
o- やう
o-o- やうやう
ae やえ
aeo やえ子
aoa やおら
aau やかす
aaa やかた
aaaii やかましい
aaaia やかまし屋
aan やかん
aae やがて
aiaeu やきあげる
aiiu やききる
aiueu やきすてる
aiuu やきつく
aiueu やきつける
ainaau やきなます
aiaau やきはらう
aioi やきもき
ai やぎ
au やく
aua やくざ
auu やくす
aueu やくせる
auau やくだつ
auaeu やくだてる
auo- やくほう
auo やくも
auaai やぐま台
auaaio やぐら太鼓
aeoiu やけおちる
aeo- やけぎょう
aeuo やけくそ
aeinu やけしぬ
aeaaeu やけだされる
aeau やけだす
aeaa やけっ腹
aeuu やけつく
aeni やけに
aeu やける
aeae やけ酒
aaii やさしい
aaia やさしさ
aaooo やさ男
ainau やしなう
ainaeu やしなえる
aio やしろ
aio やし子
ai やじ
aiu やじる
aieu やじれる
aiua やじ馬
au やす
aui やすい
aui やすい
aue やすえ
auo やすこ
aui やすし
auoi やすっぽい
auno やすの
auo やすほ
auau やすまる
aueu やすめる
auau やすやす
auo やすよ
auau やすらう
auau やすらぐ
aue やすゑ
aunuu やすんずる
aue やす江
auo やす子
aua やずや
aeoooeu やせおとろえる
aeoeu やせこける
aeaaaeu やせさらばえる
aeoou やせほそる
aeu やせる
aeoou やせ細る
aeoooeu やせ衰える
aei やせ地
aaeooo やたけ心
aaa やたら
aaaue やたら漬
aio やちよ
aai やっかい
aau やっかむ
ao やっこ
aaa やっちゃ場
aueu やっつける
aueioo やっつけ仕事
aeuu やってくる
aeuu やって来る
aoo やっとこ
aoo やっとこ
aa やっぱ
aai やっぱり
au やつ
auane やつがね
auu やつす
aueu やつれる
aou やとう
aoeu やとえる
aona やとな
aou やどす
aoii やどり木
aoeu やどれる
anaaae やなあさって
anaaao-o-ani やながわ工業団地
anaui やなぐい
anae やなせ
aniaau やにさがる
anioi やにっこい
anoi やの字
aai やはり
aai やばい
auu やぶく
aueu やぶける
auaa やぶさか
auae やぶさめ
auu やぶる
aueu やぶれる
auia やぶ医者
auei やぶ蛇
aeo やへ子
ao やぼ
aouai やぼくさい
aoai やぼったい
aau やまう
aaii やましい
aaia やました
aaa やまだ
aaoe やまと絵
aanaaouino-o- やまなか食品工業
aaneouo やまねこスト
aaio やまびこ
aaoo やまもと
aaoo やまもも
aaa やまや
aaaouan やまや直販
aaio やま磯
aaa やま場
ai やみ
aiuo やみくも
aiuu やみつく
aio-eu やみほおける
aia やみ屋
aiii やみ市
aioiii やみ取引
aio-a やみ相場
aiui やみ討ち
aio やみ夜
au やむ
aunai やむない
auniaaeu やむにやまれず
auoenai やむをえない
auoeu やむを得る
ae やめ
aeu やめる
aoi やもり
aa やや
aa やや
aaoii ややこしい
aaouea ややもすれば
au やゆ
ao やよ
aoi やよい
aoiea-o やよいデパート
aoe やよえ
aoi やよひ
aoe やよゑ
aoo やよ子
aaau やらかす
aau やらす
aauuaui やらずぶったくり
aiau やりあう
aiaeu やりかえす
