aio-i- ＩＯＣ
aiiau 愛し合う
aiuue-o アイススケート
aiei 相席
aiiau 愛着
aieia アイディア（アイデア）
ainiu あいにく
au 合う
aou 扇ぐ
aai 赤字
aau 挙がる
aiao 空き箱
aiu 飽きる
auiu 握手
aueu アクセル
aua 悪魔
aeaioou 揚げ足を取る
aeu 挙げる
ao あご
aaiian 朝一番
aiui 足首
aiai あじさい
aiau 味わう
aioaou 足を運ぶ
aueu 預ける
aaeu 与える
aaaoaeu 頭を下げる
aaaoineu 頭をひねる
aai あたり
aau 当たる
aua 悪化
auau 扱う
auai あっさり
auu アップ
aeaeu あてはめる
aeu あてる
aoaaue 後片づけ
ana 穴
anaou アナログ
aua 油
aueu あふれる
aau 雨具
aai 甘み
aai 余り
aeianuuoo-u アメリカンフットボール
aaai 誤り
auu 歩む
aaou 争う
aaaau 改まる
aauu あらゆる
aaaeu 現れる・現われる
aiaai 有り難い
auiaau 歩き回る
auuaeuoiun アルファベット順
aeui- アレルギー
aaeu 慌てる
ani 安易
ane-o アンケート
aneiei 安定性
annoiou 案の定
iiaaau 言い表す
iiaeu 言い換える
iinai 言いなり
iiaiai 言い間違い
iinai 委員会
ieo- イエロー
iai 以外
iaa いかが
ianio いかにも
iau 怒る
iioi 勢い
iiono 生き物
iu いく
iooi 居心地
iaoiuoi いざ（というとき）
ii 意志
iiaaa 石頭
iinouenioannen 石の上にも三年
iiaiou 慰謝料
iiau 意地悪
iei 異性
ienoie 依然として
iau 抱く
iau 痛む
iaeu 痛める
iiii いちいち
iiou 一応
iininae 一人前
iiiu 一律
iuaien 一回戦
iuen 一見
iuoae 一戸建て
iuiou 一生
iueiniiou 一石二鳥
iuai 一体
iuan いったん
iuei 一定
iuan 一般
iuuu 一服
iuou 一方
iuouei 一方的
ieni 遺伝子
ioo いとこ
ionau 営む
iau 威張る
iuna 異文化
iou 違法
iaoo 今頃
iaea 今では
iaoi 今時
iaae 今まで
iaia 嫌々
iai 癒し
ioio いよいよ
iai 以来
iiou 医療
iaa いわば
inaanei 因果関係
iniuunen 飲酒運転
inai 引退
uiui- ウイスキー
uinu ウインク
u-u ウール
uau 浮かぶ
uu 浮く
ueueu 受け付ける
ui 牛
uiouaa 後ろ姿
uuuai 薄暗い
uaau 疑う
ui うち
uiaaeu 打ち合わせる
uia うちわ
uuai うっかり
uuu 映す
uuun うっぷん
uuu 写る
ue 腕
unauu うなずく
uau 奪う
uai うまみ
ueaeu 埋め立てる
uaaau 裏がある
uanai 占い
uanau 占う
uaau うらやむ
uiaeu 売り上げる
uu 得る
eu 得る
uaaau 上回る
unei 運営
uneniu 運転手
unei 運命
eiiou 影響
eieiouou 衛星放送
eiou 栄養
eii 営利
eau 描く
euniuuioui エスニック料理
enueiie- ＮＨＫ
eai 偉い
eu 得る
en 縁
eni 延期
enuau 円グラフ
eni 園児
enuo エンスト
enaa 円玉
eniouen 延長戦
oiaeu 追いかける
oinuu 追い抜く
ou 追う
ouen 応援
ouuu 往復
ooae 大雨
oou 覆う
ooaa 大方
oooe 大声
o-a- オーバー
ooaa 大ばか
ooin 大瓶
ooa 大家
oau 犯す
oai お上
oiaeu 置き換える
ooi お越し
oou 起こる
oou おごる
oanai 幼い
oaau 治まる
oaeu 治める
oii おじぎ
oiu 惜しむ
oiaaiau お邪魔します
oioeu 押し寄せる
oen 汚染
ooau おそらく
ooeiu 恐れ入る
ooau 教わる
oaaiaa お互い様
oiuu 落ち着く
oue 追って
ooau 脅かす
ooueu 訪れる
oonaii おとなしい
oooeu 衰える
oni 鬼
oniii おにぎり
oiaau 脅かす
ouiu オフィス
ooeu おぼれる
ooi 思い
ooiiue 思い切って
ooiou 思い込む
ooau 思わず
oau おやつ
ooo およそ
oou 及ぶ
oanu-an オランウータン
oiniuu オリンピック
oeenuau 折れ線グラフ
oau 終わる
onia 御社
onan 温暖
ono 温度
oiano おりさの
