a-i はーい
a- はあ
ai はい
aiiu はいいる
aiai はいかい
aiu はいす
aiuu はいする
aiuu はいずる
aiau はいだす
aiuuau はいつくばう
aieu はいでる
aiauau はいまつわる
aiuuui はいむるぶし
aiiiu はいりきる
aiioeu はいりこめる
aiu はいる
aieu はいれる
aia はい芽
aieu はい出る
au はう
aenui はえぬき
aeu はえる
aenaa はえ縄
aenui はえ抜き
aou はおる
aau はかす
aae はかせ
aaou はかどる
aanai はかない
aanau はかなむ
aaaaii はかばかしい
aaa はかま
aaau はからう
aaeu はかれる
aai はがき
aau はがす
aaeu はがせる
aaui はがゆい
aaeu はがれる
aiaeu はきかえる
aiaeu はきかける
aiau はきだす
aiae はきだめ
aiiaeu はきちがえる
aino はきの
aiai はきはき
aiiaeu はき違える
aiau はき出す
aiono はき物
aiaau はぎあわす
aiaaeu はぎあわせる
aiou はぎとる
aioeu はぎとれる
aino はぎの
ainoai はぎの台
aiaaeu はぎ合せる
aiaau はぎ合わす
aio はぎ子
aiou はぎ取る
aioeu はぎ取れる
aio はぎ女
au はく
auu はくす
auuu はくする
auau はくだつ
auau はくばく
aui はくり
auou はく色
auei はく製
auau はく奪
auo- はく票
auau はく落
aui はく離
au はぐ
auuu はぐくむ
auueu はぐくめる
auaau はぐらかす
aueu はぐれる
ae はけ
aeu はける
aeui はけ口
aeaau はげあがる
aeoiu はげおちる
aeii はげしい
aeau はげます
aeu はげむ
aeu はげる
aeaa はげ山
aeaau はげ上がる
aeaaa はげ頭
aeoiu はげ落ちる
aoiou はこびこむ
aoeu はこべる
aooou-u はごろもフーズ
aa はさ
aaau はさまる
aaeu はさめる
aaa はざま
aaa はざ間
ai はし
aia はしか
aioi はしこい
aio はしご
aioan はしご段
aianai はしたない
aiaane はした金
ainau はしなく
ainauo はしなくも
aie はしめ
aioo はしもと
aau はしゃぐ
aou はしょる
aoeu はしょれる
aiau はしらす
aieu はしれる
aiiu はじいる
aiiaeu はじきかえす
aieu はじける
aiau はじまる
aieu はじめる
aiau はじらう
aiu はじる
auu はする
auai はす交い
au はず
au はず
auaii はずかしい
auaieu はずかしめる
auu はずす
aueu はずせる
aui はずみ
auu はずむ
aue はずれ
aueu はずれる
aeaa はせがわ
aeanuu はせさんずる
aeu はせる
aeanuu はせ参ずる
aeu はぜる
aa はた
aai はたき
aaeu はたける
aaie はたして
aaeu はたせる
aao はたと
aaeu はためく
aaaau はたらかす
aaaeu はたらける
aaeiau はた迷惑
aae はた目
aaau はだかる
aaeu はだける
aaaui はださむい
aaaui はだざむい
aai はだし
aai はだし
aaa はだら
aae はだれ
aiieu はちきれる
ainou はちの巣
aian はちまん
aiiu はちみつ
au-ui はちゅう類
aio はちよ
aio はち子
aiieu はち切れる
aiiu はち密
a' はっ
aii はっきり
aiio はっきりと
ae はっけ
aau はっさく
aio はっしと
auu はっする
aai はったい
aai はったり
ao はっと
ai はっぴ
au はつ
aue はつえ
auano はつが野
auo はつこ
aune はつね
auno はつの
aui はつみ
auo はつよ
auu はつる
aue はつゑ
aue はつ江
auo はつ子
auoi はつ恋
ae はて
ae はて
ae はて
aena はてな
aeu はてる
ao はと
aoo はとこ
ana はな
anai はなし
anaia はなし家
anaiou はなじろむ
anau はなす
anaeu はなせる
anaono はなぞの
anaaeoo- はなたれ小僧
anau はなつ
anaaa はなはだ
anaaaii はなはだしい
anaanaii はなばなしい
anai はなみ
anaiui はなみずき
anaaa はなやか
anao はなよ
anaeu はなれる
anae はなゑ
anae はな江
anao はな子
aniaia はにかみ屋
aniau はにかむ
ania はにわ
aniaa はにわ屋
aneaau はねあがる
aneaeu はねあげる
aneaeu はねかえす
aneau はねかす
aneau はねだす
aneaei はねっ返り
aneueu はねつける
aneoau はねとばす
anenoeu はねのける
aneu はねる
aneai はね橋
aneaau はね上がる
aneaeu はね上げる
aneaeu はね返す
aneaeu はね返る
aaainaaa はばかりながら
aaau はばかる
aaau はばたく
aaaeu はばたける
aaioi はばひろい
aau はばむ
aaeu はばめる
aiino はびきの
aiou はびこる
auu はぶく
aueu はぶける
aeu はべる
aeeu はべれる
aa はま
aao はまこ
aanau はまなす
aaiou はまりこむ
aau はまる
aao はま子
aanae はま鍋
aiau はみだす
aieu はみ出る
au はむ
auau はむかう
auaeu はむかえる
ae はめ
aeou はめこむ
aeoeu はめこめる
aeu はめる
aeoi はめ込み
aeoeu はめ込める
aeia はめ板
aa はや
aa はや
aai はやい
aaiaeu はやしたてる
aau はやす
aaaa はやばや
aaa はやま
aaeu はやめる
aaau はやらす
aau はやる
ao- はよう
aaiioeu はらいきよめる
aaiooeu はらいもどせる
aau はらう
aaeu はらえる
aaianai はらぎたない
aauoi はらぐろい
aau はらす
aaeu はらせる
aaaaii はらだたしい
aaau はらだつ
aaaa はらはら
aau はらむ
aaio はらりと
ai はり
aiau はりあう
aiaaeu はりあわせる
aiaeu はりかえる
aiou はりこむ
