aaia かゞみや
a-an かあさん
ai かい
aiaau かいあがる
aiaeu かいあげる
aiaau かいあさる
aiaaeu かいあたえる
aiieu かいいれる
aiueu かいうける
aiaeu かいかえる
aiauu かいかぶる
aiaiii かいがいしい
aiiu かいきる
aiieu かいきれる
aiuuu かいくぐる
aiue かいくれ
aiou かいこす
aioeu かいこめる
aiii かいしき
aiieu かいしめる
aiun かいしゅん
aiu かいす
aiuu かいする
aiaau かいたたく
aiaaeu かいたたける
aiau かいだす
aiuuu かいつくす
aiuau かいつまむ
aiou かいとる
aioeu かいとれる
aina かいな
ainaau かいならす
aiaiu かいまみる
aiaiu かいま見る
aiou かいもく
aiooeu かいもどせる
aio- かいよう
aiai かいわい
aiau かい出す
aio かい書
aiin かい人
aio- かい性
aiuau かい摘む
aii かい離
au かう
o-ai かうばい
aeinui かえし縫い
aeu かえす
aeuaeu かえすがえす
aeeu かえせる
aee かえって
aeiau かえりざく
aeiiu かえりみる
aeu かえる
aeu かえる
aeeu かえれる
ao かお
aoi かおり
aou かおる
aou かおる
aa-ena かかぁ天下
aa-ena かかあ天下
aaeou かかえこむ
aaeou かかえ込む
aaeu かかげる
aau かかす
aauau かかずらう
aao かかと
aaiau かかりあう
aaeu かかれる
aaai かかわり
aaaeu かかわれる
aau かがす
aau かがむ
aaeu かがめる
aaaaii かがやかしい
aaau かがやく
aaii かがり火
aau かがる
ai かき
aiaeu かきあげる
aiaaeu かきあわせる
aiieu かきいれる
aiieoi かきいれ時
aiouu かきおくる
aioou かきおろす
aiaeu かきかえる
aioeu かきこめる
aiau かきさす
aioeu かきそえる
aiaeu かきたてる
aiau かきだす
aiaeu かきだせる
aiiau かきちらす
aiou かきとる
ainaou かきなおす
ainooeu かきのこせる
aiuuu かきふるす
aiaeu かきまぜる
aiuiu かきむしる
au-ei かきゅうてき
aioeu かきよせる
aiaeu かきわける
aiuau かき暗す
aiaau かき回す
aioeu かき寄せる
aiaaeu かき合せる
aiou かき込む
aiaeu かき混ぜる
aiaueu かき集める
aiau かき出す
aiieu かき消える
aieeu かき消せる
aio- かき道
aiuou かき曇る
aiooi かき氷
aiaeu かき分ける
aiueu かき暮れる
ainau かき鳴す
ainaau かき鳴らす
aioi かき餅
aiae かき揚げ
aiaeu かき揚げる
aioou かき落とす
aiiau かき乱す
aiaeu かき立てる
ai かぎ
aiaeu かぎあてる
aiau かぎだす
aiaeu かぎだせる
aio かぎっ子
aiueu かぎつける
au- かぎゅう
aii かぎり
aioi かぎろひ
aiaeu かぎわける
aiau かぎ出す
aiaeu かぎ出せる
aiai かぎ針
aiana かぎ鼻
aiai かぎ裂き
au かく
au かく
au かく
aui かくい
auau かくかく
auiiau かくしきばる
aueu かくせる
aueno かくぜんと
auau かくばる
aueu かくべつ
auau かくまう
aueu かくれる
aueino かくれミノ
aunaaa かくんば山
auan かく乱
au かぐ
auoi かぐろい
auaii かぐわしい
ae かけ
ae かけ
ae かけ
aeai かけあい
aeaaeu かけあわせる
aeae かけがえ
aeuae かけくらべ
aeoeu かけこめる
aeuiaau かけずりまわる
aeuu かけずる
aeau かけだす
aeiau かけちがう
aeo かけっこ
aeueu かけつける
aenueu かけぬける
aeai かけはぎ
aeeaeu かけへだてる
aeaau かけまわる
aeou かけもつ
aeou かけよる
aeoeu かけよれる
aeu かける
aeeaau かけ隔たる
aeai かけ橋
aeau かけ合う
aeaaeu かけ合せる
aeou かけ込む
aean かけ算
aeoi かけ持ち
aeoe かけ声
aeanaeu かけ離れる
ae かげ
aenaaa かげながら
aei かげり
aeou かげろう
aen かげん
ao かこ
aou かこう
ao-an かこう岩
aoeu かこえる
aou かこつ
aoueu かこつける
aou かこむ
aoeu かこめる
ao かご
aonooi かごの鳥
aa かさ
aaaa かさかさ
aaaa かさかさ
aanaiau かさなりあう
aaneu かさねる
aaau かさばる
aaua かさぶた
aau かさむ
aannoin かさんのいん
aaau かさ張る
aae かざけ
aau かざす
aai かざり
aaeu かざれる
ai かし
aiiu かしきる
aiu かしく
aiu かしぐ
aieu かしげる
aio かしこ
aioau かしこまる
aiuu かしずく
aiau かしだす
aiaeu かしだせる
aiueu かしつける
ainoiai かしの木台
aiaii かしましい
aia かしら
aiaau かしらだつ
aia かしわ
aia かしわ
ai かじ
aiau かじかむ
aioi かじとり
aiiuu かじりつく
aiu かじる
aioi かじ取り
aiuioa かじ付きフォア
au かす
au かす
aua かすか
auau かすかす
aui かすみ
aueou かすめ取る
auu かする
aueu かすれる
auiu かす汁
aui かずい
aue かずえ
auo かずお
auo-i かずおおい
auu かずく
auo かずこ
auuunai かずすくない
aunoo かずの子
aui かずみ
auo かずよ
auaai かずら橋
aue かずゑ
aue かず江
auo かず子
auo かず穂
aeu かせぐ
aeeu かせげる
aeu かせる
aeaaa かせ河原
aeio かせ糸
ae かぜ
aen かぜん
aoei かそけい
aoeaeu かぞえあげる
aoeu かぞえる
aa かた
aa かた
aa かた
aai かたい
aaao かたかご
aaaoai かたかご台
aaaa かたがた
aai かたぎ
aauna かたくな
aauuii かたくるしい
aaeu かたげる
aaienai かたじけない
aau かたす
aau かたず
aai かたち
aaiuueu かたちづくれる
aaai かたっぱし
aauui かたつむり
aauu かたづく
aaue かたづめ
aaou かたどる
aaoeu かたどれる
aaa かたは
