aaaa まあまあ
aiu マイク
aiou 埋葬
aeai 前足
aeui 前向き
aaeu 任せる
au 巻く
auniiu-o マグニチュード
aaa まさか
aani まさに
aieu 交える
aiuu マジック
au 増す
aua- マスター
aa また
aiaae 待ち合わせ
aiau 間違う
aiiuu 町中
aua 真っ赤
aua-i マッサージ
auio 真っ白
auau 全く
aoui 窓口
ana- マナー
anau 学ぶ
aou 迷う
aui 丸い
aui 丸み
anin 満員
anaii 万が一
aniu 満室
aniuu 饅頭
anouan 満足感
anneia マンネリ化
aeia マテ茶
i 〜み
ieu 見える
iae 見かけ
iaa 味方
ii 幹
iou 見込む
iiuu 未熟
iu ミス
iui 水着
ieinen 未成年
iai 〜みたい
iaio 見出し語
ianai 満たない
iia 身近
iuoi 三つ星
iuou 見積もる
iei 未定
ioeu 認める
inaou 見直す
inaianiuu 南半球
iniui 醜い
iniueu 身につける
inoau 見逃す
iauau 未発達
iaou 見守る
iioo 耳元
iu-iian ミュージシャン
iai 未来
iiou 魅力
uai 向かい
uanin 無関心
ui 〜向き
uu 向く
uuu 報う
uuaeu 報われる
ueu 向ける
ui 無視
uiun 矛盾
uinei 無神経
uu 蒸す
uuu 結ぶ
uiuu 夢中
uaiuu 村中
uiouen 無料券
e 〜め
eien 名言
eiiu 命じる
eio 名誉
eiau 迷惑
e-a- メーカー
eanai 目がない
eaaau 目が回る
euu 恵む
eau 目指す
eau 目立つ
eau メダル
euani めったに
enoaeniuu 目の前にする
en めん
enio 免許
eneuien 面接試験
enou 面倒
oueu もうける
ouieu 申し出る
ouen 盲点
oueii 目的地
ouu 潜る
oiaiaa もしかしたら
oio もしも
oaau もたらす
oi もち
oioi 持ち込み
oiou 持ち寄る
ouo- モットー
ouoo もっとも
oeu モデル
oo もと
ooeu 求める
ono 〜物
onouo モノクロ
onoaue 物忘れ
ooio 桃色
ooou 催す
oiaeu 盛り上げる
ou 盛る
onen 門限
