naiai 内外
nao なお
naaii 長生き
naaoe 長そで
naanen 長年
naaa 仲間
naae 眺め
naaui 中指
naae 流れ
naioe 鳴き声
nauaeu 慰める
nauiau なぐり合う
naeieu 投げ入れる
naeau 投げ出す
naaenai 情けない
nau 成す
nauaii 懐かしい
nauou 納豆
nauaui 夏休み
nanienau 何気なく
nanioi 何より
naa 生
naaeu 怠ける
naai 生身
naai 悩み
naau 鳴らす
naiau 成り立つ
naueu なるべく
nanio 難易度
naniou 南極
naneonai 何でもない
nanoiueo 何と言っても
nanoauu なんとかする
nanonau なんとなく
nanei 南米
nanaa なんらか
niaoe 似顔絵
niai 苦み
niiu 握る
niui 憎い
niuu 憎む
nionio にこにこ
niou 濁る
niiou 二乗
niou 二足
niuui 荷造り
nioo 二度と
nionai 日本海
nioniuu 日本中
niuanu ニュアンス
niuuia 入社
niuuiou 入賞
niuuiouiou 入場料
niu 煮る
niniou 人情
ninae 〜人前
nuu 抜く
nuno 布
nuu 塗る
neieiu ネイティブ
neui ねずみ
neaii 寝たきり
neuueu ネックレス
neau ねらう
nenouioeu 年功序列
nenouei 年俸制
nenei 年齢
nouiou 農業
noueiia 納税者
nouo 濃度
nouiou 能力
noau 逃す
noeu 乗せる
noou のぞく
nooaii 望ましい
noou 臨む
noioo 後ほど
noau 伸ばす
noaa 野原
noiu 延びる
noou 上る
noi のり
noiuou 乗り過ごす
nooi のろい
nonii のんびり
