a-a- ザーザー
aiau 最悪
aien 財源
aiiuuei 最終的
aiiou 在職
aiei 財政
aianen 最大限
aieien 最低限
aiai 栽培
aiou 細胞
aiiou 再利用
aa 坂
aan 盛ん
ai 先
aiou 作業
auia 作詞家
auan 昨晩
aue 作目
aeu 叫ぶ
aaau ささやく
aii 座敷
au 刺す
ao さぞ
auau 錯覚
auioua 作曲家
auo さっと
ae さて
aoo さほど
aa 様
aue 寒気
aaaa ざらざら
aania さらには
aau 騒ぐ
anauei 三角形
aniin 参議院
ane- ３Ｋ
anou ３高
anuu 算数
anauo-u サンタクロース
i 児
iaeu 仕上げる
iiu 強いる
ioaai 塩辛い
iai 次回
iau 歯学
iaui 四角い
iao しかも
ii 時期
iiuuiou 持久力
iui 仕組み
ien 資源
iou 事項
ii 指示
iiou 市場
iiouia 死傷者
iin 自身
iei 姿勢
ienni 事前に
iou 時速
iai 次第
iai 時代
iaau 従う
iaaue したがって
iaiu 親しむ
iiou 視聴
iiouiu 視聴率
iuau 失格
iuai しっかり
iuiou 失業
iuiouiu 失業率
iue しつけ
iuen 実現
iuai 実際
iui 実施
iuo 嫉妬
iunai 室内
iuiu 執筆
iuiou 実力
iei 指摘
ien 時点
iou 自動
ioueini 自動的に
iai 芝居
iaau 支払う
iau 縛る
iuo シフト
iou 志望
iouiu 死亡率
iau しまう
ii 地味
iin 市民
ieiu 締め切る
ieu 示す
ieu 湿る
ien 地面
iain 社員
iaaioen 社会保険
iao 車庫
iauin 借金
iaeu しゃべる
iaen 斜面
ianenon 「じゃんけん、ぽん」
ianu ジャンル
iuu 周
iuu 銃
iuuiin 衆議院
iuuiouin 従業員
iuui 重視
iuuiuu 収集
iuuiou 修飾
iuuinoou 終身雇用
iuuai 重大
iuuiuu 集中
iuuou 習得
iuunin 住人
iuuun 十分
iuuin 住民
iuuou 収容
iuuouei 重要性
iuuiu 州立
iuen 主演
iuuiu 祝日
iuuuu 祝福
iuen 受験
iuai 取材
iuin 受診
iuei 酒税
iuiou 主張
iuuan 出願
iuuia 出社
iuuin 出身
iuue 出世
iuuania 出版社
iuiou 寿命
iuou 需要
iunan 瞬間
iuniuneuiou 準々決勝
iunan 順番
iou 勝
iou 畳
iouai 照会
iouai 生涯
iouauin 奨学金
iouanai しょうがない
iouio 小規模
iouiuu 上級
iouiou 状況
iouen 条件
iouai 詳細
iouia 少子化
iouii 常識
iouia 乗車
iouiu 生じる
iouuua 少数派
iouaien 招待券
iouau 上達
iouan 冗談
iouiou 省庁
iounen 少年
iouanin 上半身
iouiia 消費者
iouin 商品
iouinen 商品券
iouou 情報
iouiien 賞味期限
iouen 正面
iouiuu 上流
io-u ジョーク
ioiuu 初級
iouiou 職業
iouau 食卓
ioui 食費
ioen 助言
ioon 初婚
ioioni 徐々に
ioon 所存
iouiuu しょっちゅう
ioouei 所得税
ioneno 初年度
ioi 処理
iiai 知り合い
iiu 自立
iua- シルバー
iooi 白帯
iouoi 白っぽい
ina 進化
inaa 新型
iniou 新記録
ineiiu 神経質
inou 深刻
inoua 深刻さ
inau 診察
inia 新車
inin 新人
inei 申請
inei 親せき
inou 心臓
inan 診断
iniou 身長
inni 真に
inan 審判
ino 進歩
ina 深夜
inou 信用
ini 真理
inin 森林
inou 新郎
uiaa 吸い殻
uieniou 推薦状
uuau 数学
uuuuii ずうずうしい
uunin 数人
uaaoeu 姿を消す
ui すぎ
ui 好き
uu 好く
uui 救い
uunauoo 少なくとも
uou すごく
uoio 少しも
uuu 進む
uueu 進める
uauu スタッフ
uuai すっかり
ueni すでに
uo-u ストーブ
uoaii ストライキ
unaai すなわち
uaau 素早く
ui-oian スピード違反
uee すべて
ueu 滑る
ui 隅
uu-u スムーズ
uau ずらす
uiuu スリップ
uui ずるい
uo-an スローガン
ei 性
eia 成果
eiau 正確
eiaui 生活費
eii 正義
eiin 税金
eien 制限
eian 生産
eiia 政治家
eiio 清書
eiiounen 青少年
eiin 成人
eiinei 精神的
eieiioueiio 成績証明書
eiau ぜいたく
eiei 性的
einenaui 生年月日
eii 整備
eiuu 生物
eieu 性別
eiou 西洋
eiiei 生理的
e-uu セールス
eaiii 世界一
einin 責任
euau せっかく
euiouei 積極的
eueuiuu 赤血球
euuu 接する
euou 説得
eunaa せつなさ
euau 節約
enaa 背中
eau 迫る
eeu 攻める
eiu せりふ
enai 前回
enio 選挙
eniu 選手
eninou 先進国
enaui 選択肢
enou 先頭
enai 先輩
enou 先方
enona 専門家
enou 専用
ou 層
ou 添う
ouon 騒音
ouau 総額
oui 早期
ouen 草原
oua 操作
ouau 創作
ouo 想像
ououiou 創造力
ououei 相続税
ouanninou 相談に乗る
ouou 相当
ounan 遭難
ouiou 送料
ouei 測定
ooe そこで
oii 組織
oen 祖先
oaioi 粗大ゴミ
ouui そっくり
onaeaeaueinai 備えあれば憂いなし
onoen その辺
oa そば
oau 粗末
oooo そよそよ
oeea それでは
oeeo それでも
oenanoni それなのに
oeaooauoie それはともかくとして
oou そろう
on 損
oniou 尊重
