aaaii やかましい
aiuuiou 野球場
auia 役者
aunin 役人
auai 役割
auuoi 安っぽい
au やつ
aueuu やってくる
aou 雇う
aai やはり
aueu 敗れる
aaiaiaa 病は気から
aaoa 山小屋
aaoii ややこしい
aioeu やり遂げる
aui やる気
uui 勇気
uui 遊戯
uuiou 友情
uuuu 融通
uuou 有毒
u-uo- ＵＦＯ
uuiou 有料
uaa 浴衣
ueu 輸血
uaa 豊か
ueu ゆでる
unieuuu ユニセックス
ui 指
uai 由来
ueu 揺れる
ouin 要因
ouo 用語
ouiou 養殖
ouuuni 要するに
ouo 要素
ouien 幼稚園
ouau ようやく
oan 予感
ou 欲
oei よけい
oou 予告
oonaai 横並び
ooai 横ばい
oan 予算
oiai 善し悪し
oeu 寄せる
oou 予想
oi 予知
ouaau 酔っ払う
onaa 夜中
oi 予備
oiou 予備校
ou 呼ぶ
ooo よほど
oiaiau 読み間違う
ouu 余裕
oi より
oooaii 喜ばしい
oai 弱火
oai 弱み
